"code","date","beta","se","lo","hi"
"600276",2025-09-22,0.704294422496098,0.184827839758193,0.34203185657004,1.06655698842216
"600276",2025-09-23,0.712390627433579,0.180868017136785,0.357889313845481,1.06689194102168
"600276",2025-09-24,0.706598679339144,0.179569969791289,0.354641538548219,1.05855582013007
"600276",2025-09-25,0.719636645896757,0.180895114917856,0.365082220657759,1.07419107113576
"600276",2025-09-26,0.808812940473929,0.247125154964047,0.324447636744398,1.29317824420346
"600276",2025-09-29,0.789425281933207,0.249263478130473,0.300868864797481,1.27798169906893
"600276",2025-09-30,0.82436674914546,0.251462329461335,0.331500583401244,1.31723291488968
"600276",2025-10-09,0.797154375676217,0.251532434281003,0.304150804485452,1.29015794686698
"600276",2025-10-10,0.888124984049284,0.244595080100465,0.408718627052372,1.3675313410462
"600276",2025-10-13,0.901870693488122,0.244254943023586,0.423131005161893,1.38061038181435
"600276",2025-10-14,0.960230742158654,0.24296751458816,0.48401441356586,1.43644707075145
"600276",2025-10-15,0.989913610448765,0.240661392156098,0.518217281822812,1.46160993907472
"600276",2025-10-16,0.989492287762174,0.2406984925774,0.517723242310471,1.46126133321388
"600276",2025-10-17,1.00116880266552,0.230815616152901,0.548770195005831,1.4535674103252
"600276",2025-10-20,0.993931697737046,0.229809938013116,0.54350421923134,1.44435917624275
"600276",2025-10-21,0.997581619800716,0.224275423157438,0.558001790412138,1.4371614491893
"600276",2025-10-22,1.00286996941004,0.224109848337627,0.563614666668293,1.44212527215179
"600276",2025-10-23,1.00226399664101,0.224218933548614,0.562794886885731,1.4417331063963
"600276",2025-10-24,0.991873101293681,0.222187331049554,0.556385932436555,1.42736027015081
"600276",2025-10-27,1.00257480342573,0.221167142695317,0.569087203742905,1.43606240310855
"600276",2025-10-28,1.03934713385862,0.225677767205559,0.597018710135723,1.48167555758151
"600276",2025-10-29,1.04338672544074,0.222386784735087,0.607508627359974,1.47926482352152
"600276",2025-10-30,1.06645316549404,0.221835173919479,0.631656224611866,1.50125010637622
"600276",2025-10-31,0.996833632414745,0.221297723408356,0.563090094534367,1.43057717029512
"600276",2025-11-03,0.997046880703972,0.221906565073137,0.562110013160623,1.43198374824732
"600276",2025-11-04,1.02343207143526,0.220118688134781,0.59199944269109,1.45486470017943
"600276",2025-11-05,1.0844006083442,0.215073698862989,0.662856158572745,1.50594505811566
"600276",2025-11-06,1.07283396648641,0.213060106743451,0.655236157269249,1.49043177570358
"600276",2025-11-07,1.05490284615218,0.213517910348304,0.636407741869502,1.47339795043485
"600276",2025-11-10,1.08575379230183,0.21343949331022,0.667412385413801,1.50409519918986
"600276",2025-11-11,1.09434113417479,0.21234182867005,0.678151149981494,1.51053111836809
"600276",2025-11-12,1.08625148268253,0.213280445998559,0.668221808525358,1.50428115683971
"600276",2025-11-13,1.09311070160025,0.211989843624097,0.677610608097015,1.50861079510348
"600276",2025-11-14,1.07122503525297,0.207556849464905,0.664413610301759,1.47803646020418
"600276",2025-11-17,1.0789266986687,0.20706952443538,0.673070430775351,1.48478296656204
"600276",2025-11-18,1.06526595440236,0.207379572493088,0.658801992315902,1.47172991648881
"600276",2025-11-19,1.04857272904171,0.207876146161684,0.641135482564806,1.45600997551861
"600276",2025-11-20,1.05566315167474,0.20780560148583,0.648364172762515,1.46296213058697
"600276",2025-11-21,1.03862065462327,0.199990262413344,0.646639740293118,1.43060156895343
"600276",2025-11-24,1.03730816256639,0.200953898836372,0.6434385208471,1.43117780428568
"600276",2025-11-25,1.04298482925002,0.20006825493553,0.650851049576378,1.43511860892365
"600276",2025-11-26,1.05180773539521,0.200580217301303,0.658670509484655,1.44494496130576
"600276",2025-11-27,1.0514393708258,0.20064416051055,0.65817681622512,1.44470192542648
"600276",2025-11-28,1.05395918267164,0.198953854012835,0.664009628806485,1.4439087365368
"600276",2025-12-01,1.04064893019147,0.198465613655962,0.651656327425785,1.42964153295716
"600276",2025-12-02,1.04444132477498,0.198110717598647,0.656144318281633,1.43273833126833
"600276",2025-12-03,1.05518034293968,0.19727256791191,0.668526109832336,1.44183457604702
"600276",2025-12-04,1.06501718169752,0.197119787927061,0.678662397360481,1.45137196603456
"600276",2025-12-05,1.06758683335909,0.195691799511255,0.68403090631703,1.45114276040115
"600276",2025-12-08,1.04754782456872,0.194447262264709,0.666431190529889,1.42866445860755
"600276",2025-12-09,1.03777624592975,0.194509091626288,0.656538426342227,1.41901406551727
"600276",2025-12-10,1.02774459193607,0.191775415587821,0.651864777383937,1.40362440648819
"600276",2025-12-11,1.0186826003341,0.190971377638605,0.644378700162429,1.39298650050576
"600276",2025-12-12,1.0180560814464,0.19177109500096,0.642184735244519,1.39392742764828
"600276",2025-12-15,1.03693978139975,0.192463040810982,0.659712221410221,1.41416734138927
"600276",2025-12-16,1.06889102911595,0.192052202713682,0.692468711797132,1.44531334643477
"600276",2025-12-17,1.0780951905209,0.190284669517871,0.70513723826587,1.45105314277593
"600276",2025-12-18,1.07685431104271,0.191382014730918,0.70174556217011,1.45196305991531
"600276",2025-12-19,1.07323755434981,0.191443523816241,0.698008247669975,1.44846686102964
"600276",2025-12-22,1.06926119972384,0.191465548876811,0.693988723925291,1.44453367552239
"600276",2025-12-23,1.07109469528781,0.191779007615909,0.695207840360627,1.44698155021499
"600276",2025-12-24,1.06893128227128,0.191910009411752,0.692787663824251,1.44507490071832
"600276",2025-12-25,1.06852258771247,0.191884678648577,0.69242861756126,1.44461655786368
"600276",2025-12-26,1.06801912980157,0.192228529041328,0.691251212880568,1.44478704672257
