date,open,high,low,close
2017-11-15,1894.8,1934.45,1873.28,1928.79
2017-11-16,1925.96,1987.13,1902.45,1978.92
2017-11-17,1971.56,1993.65,1911.8,1918.03
2017-11-20,1884.89,1955.41,1830.23,1952.01
2017-11-21,1933.89,1973.82,1931.62,1960.23
2017-11-22,1982.6,2010.93,1920.29,1947.77
2017-11-23,1927.37,1935.59,1835.32,1838.44
2017-11-24,1807.28,1874.98,1807.28,1847.79
2017-11-27,1841.27,1869.31,1798.79,1819.18
2017-11-28,1830.23,1877.24,1823.99,1876.39
2017-11-29,1887.44,1909.53,1835.32,1849.49
2017-11-30,1849.77,1874.98,1826.83,1846.37
2017-12-01,1864.21,1888.0,1846.94,1871.86
2017-12-04,1855.72,1924.26,1842.97,1909.25
2017-12-05,1907.83,1917.18,1869.31,1880.64
2017-12-06,1880.36,1903.02,1827.68,1851.75
2017-12-07,1849.49,1860.25,1819.18,1825.69
2017-12-08,1822.01,1862.51,1820.6,1853.17
2017-12-11,1890.27,1968.16,1877.81,1966.18
2017-12-12,1974.39,1987.7,1945.78,1948.05
2017-12-13,1963.34,1979.49,1931.9,1967.31
2017-12-14,1979.77,1989.4,1959.66,1972.41
2017-12-15,1971.27,1971.27,1911.51,1913.21
2017-12-18,1914.34,1948.62,1914.34,1929.92
2017-12-19,1936.72,1945.22,1917.46,1944.08
2017-12-20,1968.44,1973.26,1940.12,1965.04
2017-12-21,1963.06,2023.67,1957.68,2005.26
2017-12-22,2005.26,2037.27,1996.48,2017.44
2017-12-25,2010.93,2047.75,1988.27,2011.21
2017-12-26,2011.21,2027.64,1974.11,2002.71
2017-12-27,2007.53,2007.53,1925.96,1930.21
2017-12-28,1930.21,1981.19,1930.21,1966.18
2017-12-29,1963.06,1989.68,1948.62,1953.71
2018-01-02,1966.18,1978.35,1931.62,1944.93
2018-01-03,1945.5,1982.6,1942.95,1949.46
2018-01-04,1957.68,2002.15,1949.46,1998.75
2018-01-05,2026.5,2033.02,1979.2,1991.67
2018-01-08,1994.22,2020.84,1979.77,2018.29
2018-01-09,2030.47,2129.6,2012.91,2115.72
2018-01-10,2112.89,2142.91,2095.89,2121.38
2018-01-11,2112.89,2129.32,2089.38,2103.54
2018-01-12,2103.54,2124.22,2094.76,2113.17
2018-01-15,2107.22,2152.54,2084.85,2109.77
2018-01-16,2101.28,2180.58,2091.93,2127.05
2018-01-17,2140.93,2143.19,2074.37,2082.87
2018-01-18,2087.4,2123.37,2037.27,2061.91
2018-01-19,2064.17,2117.7,2040.66,2106.09
2018-01-22,2106.09,2166.14,2101.28,2163.59
2018-01-23,2161.04,2208.62,2138.66,2172.08
2018-01-24,2176.05,2220.52,2161.6,2211.17
2018-01-25,2228.45,2230.43,2137.53,2154.24
2018-01-26,2154.81,2202.39,2145.46,2185.11
2018-01-29,2195.31,2209.19,2064.74,2074.37
2018-01-30,2074.37,2119.12,2068.99,2098.73
2018-01-31,2095.61,2149.71,2093.06,2143.76
2018-02-01,2157.92,2178.03,2073.24,2102.41
2018-02-02,2118.84,2152.26,2087.68,2103.82
2018-02-05,2080.32,2086.26,2030.75,2078.05
2018-02-06,2024.8,2024.8,1902.73,1954.56
2018-02-07,2013.19,2016.59,1899.9,1917.18
2018-02-08,1925.11,1979.49,1919.73,1957.4
2018-02-09,1889.14,1950.6,1872.71,1913.49
2018-02-12,1922.84,2022.25,1921.71,2010.08
2018-02-13,2027.07,2067.29,2010.08,2017.44
2018-02-14,2030.75,2051.14,2019.42,2037.27
2018-02-22,2039.25,2072.67,2010.08,2052.56
2018-02-23,2067.0,2120.82,2051.43,2075.5
2018-02-26,2081.73,2124.22,2054.83,2117.42
2018-02-27,2124.78,2138.38,2084.85,2086.55
2018-02-28,2081.73,2104.39,2049.73,2052.84
2018-03-01,2047.75,2103.82,2044.91,2101.28
2018-03-02,2091.65,2110.06,2082.87,2089.38
2018-03-05,2090.23,2116.29,2070.69,2109.21
2018-03-06,2108.36,2174.07,2107.51,2157.92
2018-03-07,2149.42,2171.23,2128.47,2135.55
2018-03-08,2162.45,2236.94,2147.44,2216.55
2018-03-09,2216.55,2253.65,2200.69,2248.55
2018-03-12,2265.83,2279.71,2238.92,2264.98
2018-03-13,2256.49,2271.5,2223.35,2232.13
2018-03-14,2227.6,2272.91,2218.25,2263.28
2018-03-15,2253.65,2350.8,2251.67,2342.02
2018-03-16,2328.14,2360.15,2312.85,2321.06
2018-03-19,2328.43,2446.81,2310.58,2445.68
2018-03-20,2425.29,2516.77,2421.89,2477.97
2018-03-21,2486.75,2526.12,2435.77,2450.21
2018-03-22,2435.77,2474.0,2400.93,2432.65
2018-03-23,2360.15,2432.37,2322.48,2396.68
2018-03-26,2396.4,2527.25,2396.12,2473.72
2018-03-27,2517.62,2520.74,2408.86,2455.88
2018-03-28,2438.6,2479.1,2350.8,2357.88
2018-03-29,2379.12,2392.44,2237.51,2345.14
2018-03-30,2344.29,2466.36,2343.44,2464.38
2018-04-02,2464.38,2489.3,2396.12,2403.76
2018-04-03,2369.78,2407.45,2330.97,2403.48
2018-04-04,2447.1,2455.88,2373.18,2382.24
2018-04-09,2373.46,2389.89,2326.73,2339.75
2018-04-10,2352.22,2399.8,2345.99,2389.32
2018-04-11,2391.59,2439.45,2379.12,2409.15
2018-04-12,2413.39,2448.23,2385.07,2428.12
2018-04-13,2430.1,2441.15,2294.15,2296.42
2018-04-16,2312.56,2373.18,2268.66,2359.01
2018-04-17,2358.16,2371.48,2261.02,2290.47
2018-04-18,2308.32,2336.36,2265.55,2323.61
2018-04-19,2328.14,2356.46,2311.15,2351.65
2018-04-20,2351.65,2440.02,2345.14,2379.97
2018-04-23,2378.27,2407.45,2355.05,2387.34
2018-04-24,2396.12,2441.72,2379.41,2400.37
2018-04-25,2394.42,2480.52,2389.32,2477.12
2018-04-26,2483.63,2483.63,2361.56,2372.61
2018-04-27,2350.8,2412.83,2294.72,2364.4
2018-05-02,2378.84,2404.61,2294.15,2320.49
2018-05-03,2321.91,2363.55,2268.66,2347.68
2018-05-04,2346.27,2371.19,2317.1,2334.94
2018-05-07,2341.74,2394.7,2336.92,2393.57
2018-05-08,2405.46,2437.19,2384.79,2423.31
2018-05-09,2423.31,2447.1,2398.38,2431.8
2018-05-10,2458.99,2622.7,2437.47,2594.09
2018-05-11,2596.08,2707.67,2515.36,2534.33
2018-05-14,2549.06,2591.26,2505.73,2581.35
2018-05-15,2587.3,2640.26,2565.77,2617.89
2018-05-16,2600.04,2638.84,2588.15,2594.94
2018-05-17,2585.88,2593.24,2525.84,2547.08
2018-05-18,2548.49,2614.2,2526.97,2613.07
2018-05-21,2628.36,2630.35,2577.38,2599.48
2018-05-22,2597.78,2696.91,2583.05,2694.64
2018-05-23,2685.29,2731.18,2668.87,2681.05
2018-05-24,2634.03,2690.68,2634.03,2664.9
2018-05-25,2670.85,2799.72,2660.94,2757.8
2018-05-28,2782.72,2874.77,2738.26,2867.98
2018-05-29,2839.37,2913.58,2638.56,2702.57
2018-05-30,2638.05,2816.87,2595.65,2747.55
2018-05-31,2747.18,2810.23,2704.41,2806.91
2018-06-01,2807.28,2831.62,2680.45,2728.75
2018-06-04,2750.13,2810.6,2695.2,2792.53
2018-06-05,2808.02,3022.97,2784.79,2955.13
2018-06-06,2971.35,3063.9,2938.54,3038.46
2018-06-07,3039.93,3070.9,2999.74,3023.71
2018-06-08,3001.22,3046.2,2987.58,2992.0
2018-06-11,2989.79,2990.16,2814.66,2876.6
2018-06-12,2881.39,2904.25,2845.26,2900.19
2018-06-13,2875.86,2884.71,2800.64,2840.1
2018-06-14,2838.99,2874.75,2801.38,2812.81
2018-06-15,2802.49,2838.25,2768.2,2800.28
2018-06-19,2791.06,2861.85,2709.94,2764.88
2018-06-20,2765.25,2917.89,2713.63,2910.52
2018-06-21,2910.52,2946.65,2845.63,2882.87
2018-06-22,2842.68,2923.42,2809.49,2911.62
2018-06-25,2918.63,2996.79,2897.98,2935.59
2018-06-26,2913.1,2978.73,2860.01,2940.38
2018-06-27,2948.49,2951.44,2802.12,2818.71
2018-06-28,2761.56,2805.81,2684.14,2685.98
2018-06-29,2698.15,2805.07,2698.15,2793.27
2018-07-02,2765.25,2860.37,2728.38,2780.0
2018-07-03,2774.47,2775.2,2544.03,2673.44
2018-07-04,2636.2,2662.01,2582.01,2583.48
2018-07-05,2588.27,2638.05,2502.0,2506.79
2018-07-06,2507.16,2635.1,2495.36,2580.16
2018-07-09,2554.35,2671.6,2551.77,2665.33
2018-07-10,2682.29,2715.84,2648.74,2685.61
2018-07-11,2636.2,2686.35,2588.64,2668.28
2018-07-12,2675.29,2752.71,2674.92,2717.32
2018-07-13,2723.59,2776.31,2695.2,2764.88
2018-07-16,2746.81,2772.26,2715.48,2754.56
2018-07-17,2761.56,2767.83,2657.22,2682.29
2018-07-18,2693.35,2794.75,2673.07,2732.07
2018-07-19,2750.5,2753.08,2682.29,2699.62
2018-07-20,2697.04,2723.22,2620.72,2719.53
2018-07-23,2601.18,2647.27,2550.3,2587.91
2018-07-24,2569.84,2662.01,2550.67,2618.14
2018-07-25,2611.87,2665.33,2603.76,2650.58
2018-07-26,2661.65,2677.13,2595.65,2599.33
2018-07-27,2589.01,2613.35,2576.48,2595.65
2018-07-30,2589.01,2599.33,2507.53,2545.87
2018-07-31,2525.96,2593.8,2525.59,2539.24
2018-08-01,2572.79,2572.79,2512.69,2518.59
2018-08-02,2518.59,2559.88,2485.04,2558.78
2018-08-03,2544.03,2580.53,2448.17,2451.49
2018-08-06,2414.98,2421.62,2241.7,2280.41
2018-08-07,2271.19,2344.56,2243.54,2339.03
2018-08-08,2349.36,2370.37,2295.16,2309.54
2018-08-09,2311.75,2494.26,2298.84,2472.13
2018-08-10,2472.13,2604.13,2471.4,2582.01
2018-08-13,2576.48,2606.71,2532.23,2593.8
2018-08-14,2593.8,2633.26,2569.84,2621.83
2018-08-15,2611.87,2616.29,2481.35,2489.83
2018-08-16,2451.85,2559.15,2444.85,2478.77
2018-08-17,2502.74,2503.47,2344.93,2391.76
